,i,j,mi
0,age_gt_60g,airg,6.422527949412504e-16
1,airg,age_gt_60g,6.422527949412504e-16
2,age_gt_60g,airBoneGapg,0.0
3,airBoneGapg,age_gt_60g,0.0
4,age_gt_60g,ar_cg,1.5738607661019716e-15
5,ar_cg,age_gt_60g,1.5738607661019716e-15
6,age_gt_60g,ar_ug,0.0
7,ar_ug,age_gt_60g,0.0
8,age_gt_60g,boneg,0.0
9,boneg,age_gt_60g,0.0
10,age_gt_60g,boneAbnormalg,0.0
11,boneAbnormalg,age_gt_60g,0.0
12,age_gt_60g,bserg,1.0
13,bserg,age_gt_60g,1.0
14,age_gt_60g,history_buzzingg,1.0
15,history_buzzingg,age_gt_60g,1.0
16,age_gt_60g,history_dizzinessg,6.864277614486573e-15
17,history_dizzinessg,age_gt_60g,6.864277614486573e-15
18,age_gt_60g,history_fluctuatingg,0.0
19,history_fluctuatingg,age_gt_60g,0.0
20,age_gt_60g,history_fullnessg,1.0
21,history_fullnessg,age_gt_60g,1.0
22,age_gt_60g,history_heredityg,1.0
23,history_heredityg,age_gt_60g,1.0
24,age_gt_60g,history_nauseag,0.0
25,history_nauseag,age_gt_60g,0.0
26,age_gt_60g,history_noiseg,0.0
27,history_noiseg,age_gt_60g,0.0
28,age_gt_60g,history_recruitmentg,1.0
29,history_recruitmentg,age_gt_60g,1.0
30,age_gt_60g,history_ringingg,1.0
31,history_ringingg,age_gt_60g,1.0
32,age_gt_60g,history_roaringg,1.4254985831498747e-14
33,history_roaringg,age_gt_60g,1.4254985831498747e-14
34,age_gt_60g,history_vomitingg,1.4254985831498747e-14
35,history_vomitingg,age_gt_60g,1.4254985831498747e-14
36,age_gt_60g,late_wave_poorg,1.0
37,late_wave_poorg,age_gt_60g,1.0
38,age_gt_60g,m_at_2kg,1.0
39,m_at_2kg,age_gt_60g,1.0
40,age_gt_60g,m_cond_lt_1kg,1.0
41,m_cond_lt_1kg,age_gt_60g,1.0
42,age_gt_60g,m_gt_1kg,1.0
43,m_gt_1kg,age_gt_60g,1.0
44,age_gt_60g,m_m_gt_2kg,0.0
45,m_m_gt_2kg,age_gt_60g,0.0
46,age_gt_60g,m_m_sng,5.2372117626230235e-15
47,m_m_sng,age_gt_60g,5.2372117626230235e-15
48,age_gt_60g,m_m_sn_gt_1kg,0.0
49,m_m_sn_gt_1kg,age_gt_60g,0.0
50,age_gt_60g,m_m_sn_gt_2kg,0.0
51,m_m_sn_gt_2kg,age_gt_60g,0.0
52,age_gt_60g,m_m_sn_gt_500g,1.0
53,m_m_sn_gt_500g,age_gt_60g,1.0
54,age_gt_60g,m_p_sn_gt_2kg,1.0
55,m_p_sn_gt_2kg,age_gt_60g,1.0
56,age_gt_60g,m_s_gt_500g,1.0
57,m_s_gt_500g,age_gt_60g,1.0
58,age_gt_60g,m_s_sng,0.0
59,m_s_sng,age_gt_60g,0.0
60,age_gt_60g,m_s_sn_gt_1kg,1.0
61,m_s_sn_gt_1kg,age_gt_60g,1.0
62,age_gt_60g,m_s_sn_gt_2kg,0.0
63,m_s_sn_gt_2kg,age_gt_60g,0.0
64,age_gt_60g,m_s_sn_gt_3kg,0.0
65,m_s_sn_gt_3kg,age_gt_60g,0.0
66,age_gt_60g,m_s_sn_gt_4kg,0.0
67,m_s_sn_gt_4kg,age_gt_60g,0.0
68,age_gt_60g,m_sn_2_3kg,1.0
69,m_sn_2_3kg,age_gt_60g,1.0
70,age_gt_60g,m_sn_gt_1kg,0.0
71,m_sn_gt_1kg,age_gt_60g,0.0
72,age_gt_60g,m_sn_gt_2kg,0.0
73,m_sn_gt_2kg,age_gt_60g,0.0
74,age_gt_60g,m_sn_gt_3kg,1.0
75,m_sn_gt_3kg,age_gt_60g,1.0
76,age_gt_60g,m_sn_gt_4kg,5.9291556255730115e-15
77,m_sn_gt_4kg,age_gt_60g,5.9291556255730115e-15
78,age_gt_60g,m_sn_gt_500g,1.0
79,m_sn_gt_500g,age_gt_60g,1.0
80,age_gt_60g,m_sn_gt_6kg,1.0
81,m_sn_gt_6kg,age_gt_60g,1.0
82,age_gt_60g,m_sn_lt_1kg,1.0
83,m_sn_lt_1kg,age_gt_60g,1.0
84,age_gt_60g,m_sn_lt_2kg,1.0
85,m_sn_lt_2kg,age_gt_60g,1.0
86,age_gt_60g,m_sn_lt_3kg,1.0
87,m_sn_lt_3kg,age_gt_60g,1.0
88,age_gt_60g,middle_wave_poorg,1.0
89,middle_wave_poorg,age_gt_60g,1.0
90,age_gt_60g,mod_gt_4kg,1.0
91,mod_gt_4kg,age_gt_60g,1.0
92,age_gt_60g,mod_mixedg,1.0
93,mod_mixedg,age_gt_60g,1.0
94,age_gt_60g,mod_s_mixedg,1.0
95,mod_s_mixedg,age_gt_60g,1.0
96,age_gt_60g,mod_s_sn_gt_500g,0.0
97,mod_s_sn_gt_500g,age_gt_60g,0.0
98,age_gt_60g,mod_sng,1.0
99,mod_sng,age_gt_60g,1.0
100,age_gt_60g,mod_sn_gt_1kg,1.0
101,mod_sn_gt_1kg,age_gt_60g,1.0
102,age_gt_60g,mod_sn_gt_2kg,0.0
103,mod_sn_gt_2kg,age_gt_60g,0.0
104,age_gt_60g,mod_sn_gt_3kg,0.0
105,mod_sn_gt_3kg,age_gt_60g,0.0
106,age_gt_60g,mod_sn_gt_4kg,1.0
107,mod_sn_gt_4kg,age_gt_60g,1.0
108,age_gt_60g,mod_sn_gt_500g,0.0
109,mod_sn_gt_500g,age_gt_60g,0.0
110,age_gt_60g,notch_4kg,0.0
111,notch_4kg,age_gt_60g,0.0
112,age_gt_60g,notch_at_4kg,1.0
113,notch_at_4kg,age_gt_60g,1.0
114,age_gt_60g,o_ar_cg,1.8603536660234205e-15
115,o_ar_cg,age_gt_60g,1.8603536660234205e-15
116,age_gt_60g,o_ar_ug,0.0
117,o_ar_ug,age_gt_60g,0.0
118,age_gt_60g,s_sn_gt_1kg,0.0
119,s_sn_gt_1kg,age_gt_60g,0.0
120,age_gt_60g,s_sn_gt_2kg,0.0
121,s_sn_gt_2kg,age_gt_60g,0.0
122,age_gt_60g,s_sn_gt_4kg,1.0
123,s_sn_gt_4kg,age_gt_60g,1.0
124,age_gt_60g,speechg,0.0
125,speechg,age_gt_60g,0.0
126,age_gt_60g,static_normalg,0.0
127,static_normalg,age_gt_60g,0.0
128,age_gt_60g,tympg,4.025788539645089e-15
129,tympg,age_gt_60g,4.025788539645089e-15
130,age_gt_60g,viith_nerve_signsg,1.0
131,viith_nerve_signsg,age_gt_60g,1.0
132,age_gt_60g,wave_V_delayedg,1.0
133,wave_V_delayedg,age_gt_60g,1.0
134,age_gt_60g,waveform_ItoV_prolongedg,1.0
135,waveform_ItoV_prolongedg,age_gt_60g,1.0
136,age_gt_60g,indentifierg,0.0
137,indentifierg,age_gt_60g,0.0
138,airg,age_gt_60g,6.422527949412504e-16
139,age_gt_60g,airg,6.422527949412504e-16
140,airg,airBoneGapg,0.07388205248000405
141,airBoneGapg,airg,0.07388205248000405
142,airg,ar_cg,0.10299880727586894
143,ar_cg,airg,0.10299880727586894
144,airg,ar_ug,0.023010930306298263
145,ar_ug,airg,0.023010930306298263
146,airg,boneg,0.23895600051368474
147,boneg,airg,0.23895600051368474
148,airg,boneAbnormalg,0.13967030067810418
149,boneAbnormalg,airg,0.13967030067810418
150,airg,bserg,6.422527949412504e-16
151,bserg,airg,6.422527949412504e-16
152,airg,history_buzzingg,6.422527949412504e-16
153,history_buzzingg,airg,6.422527949412504e-16
154,airg,history_dizzinessg,0.07963155056962035
155,history_dizzinessg,airg,0.07963155056962035
156,airg,history_fluctuatingg,0.0690952927338801
157,history_fluctuatingg,airg,0.0690952927338801
158,airg,history_fullnessg,6.422527949412504e-16
159,history_fullnessg,airg,6.422527949412504e-16
160,airg,history_heredityg,6.422527949412504e-16
161,history_heredityg,airg,6.422527949412504e-16
162,airg,history_nauseag,0.06884255491537723
163,history_nauseag,airg,0.06884255491537723
164,airg,history_noiseg,0.021898995840609174
165,history_noiseg,airg,0.021898995840609174
166,airg,history_recruitmentg,6.422527949412504e-16
167,history_recruitmentg,airg,6.422527949412504e-16
168,airg,history_ringingg,6.422527949412504e-16
169,history_ringingg,airg,6.422527949412504e-16
170,airg,history_roaringg,0.03833204794883691
171,history_roaringg,airg,0.03833204794883691
172,airg,history_vomitingg,0.03833204794883691
173,history_vomitingg,airg,0.03833204794883691
174,airg,late_wave_poorg,6.422527949412504e-16
175,late_wave_poorg,airg,6.422527949412504e-16
176,airg,m_at_2kg,6.422527949412504e-16
177,m_at_2kg,airg,6.422527949412504e-16
178,airg,m_cond_lt_1kg,6.422527949412504e-16
179,m_cond_lt_1kg,airg,6.422527949412504e-16
180,airg,m_gt_1kg,6.422527949412504e-16
181,m_gt_1kg,airg,6.422527949412504e-16
182,airg,m_m_gt_2kg,0.010774435869570755
183,m_m_gt_2kg,airg,0.010774435869570755
184,airg,m_m_sng,0.0425289767171415
185,m_m_sng,airg,0.0425289767171415
186,airg,m_m_sn_gt_1kg,0.03856367552806306
187,m_m_sn_gt_1kg,airg,0.03856367552806306
188,airg,m_m_sn_gt_2kg,0.010774435869570755
189,m_m_sn_gt_2kg,airg,0.010774435869570755
190,airg,m_m_sn_gt_500g,6.422527949412504e-16
191,m_m_sn_gt_500g,airg,6.422527949412504e-16
192,airg,m_p_sn_gt_2kg,6.422527949412504e-16
193,m_p_sn_gt_2kg,airg,6.422527949412504e-16
194,airg,m_s_gt_500g,6.422527949412504e-16
195,m_s_gt_500g,airg,6.422527949412504e-16
196,airg,m_s_sng,0.010774435869570755
197,m_s_sng,airg,0.010774435869570755
198,airg,m_s_sn_gt_1kg,6.422527949412504e-16
199,m_s_sn_gt_1kg,airg,6.422527949412504e-16
200,airg,m_s_sn_gt_2kg,0.010774435869570755
201,m_s_sn_gt_2kg,airg,0.010774435869570755
202,airg,m_s_sn_gt_3kg,0.010774435869570755
203,m_s_sn_gt_3kg,airg,0.010774435869570755
204,airg,m_s_sn_gt_4kg,0.044596687714014295
205,m_s_sn_gt_4kg,airg,0.044596687714014295
206,airg,m_sn_2_3kg,6.422527949412504e-16
207,m_sn_2_3kg,airg,6.422527949412504e-16
208,airg,m_sn_gt_1kg,0.011314990979813679
209,m_sn_gt_1kg,airg,0.011314990979813679
210,airg,m_sn_gt_2kg,0.07393880631148651
211,m_sn_gt_2kg,airg,0.07393880631148651
212,airg,m_sn_gt_3kg,6.422527949412504e-16
213,m_sn_gt_3kg,airg,6.422527949412504e-16
214,airg,m_sn_gt_4kg,0.24009332601361413
215,m_sn_gt_4kg,airg,0.24009332601361413
216,airg,m_sn_gt_500g,6.422527949412504e-16
217,m_sn_gt_500g,airg,6.422527949412504e-16
218,airg,m_sn_gt_6kg,6.422527949412504e-16
219,m_sn_gt_6kg,airg,6.422527949412504e-16
220,airg,m_sn_lt_1kg,6.422527949412504e-16
221,m_sn_lt_1kg,airg,6.422527949412504e-16
222,airg,m_sn_lt_2kg,6.422527949412504e-16
223,m_sn_lt_2kg,airg,6.422527949412504e-16
224,airg,m_sn_lt_3kg,6.422527949412504e-16
225,m_sn_lt_3kg,airg,6.422527949412504e-16
226,airg,middle_wave_poorg,6.422527949412504e-16
227,middle_wave_poorg,airg,6.422527949412504e-16
228,airg,mod_gt_4kg,6.422527949412504e-16
229,mod_gt_4kg,airg,6.422527949412504e-16
230,airg,mod_mixedg,6.422527949412504e-16
231,mod_mixedg,airg,6.422527949412504e-16
232,airg,mod_s_mixedg,6.422527949412504e-16
233,mod_s_mixedg,airg,6.422527949412504e-16
