,i,j,mi
0,V2intent1,V3intent1,0.45812933446177606
1,V3intent1,V2intent1,0.45812933446177606
2,V2intent1,V4intent1,0.2621914439849016
3,V4intent1,V2intent1,0.2621914439849016
4,V2intent1,V5intent1,0.4646785419909716
5,V5intent1,V2intent1,0.4646785419909716
6,V2intent1,V6intent1,0.23093709386206007
7,V6intent1,V2intent1,0.23093709386206007
8,V2intent1,V7intent1,0.46484417526941474
9,V7intent1,V2intent1,0.46484417526941474
12,V2intent1,V9intent1,0.3323924974262876
13,V9intent1,V2intent1,0.3323924974262876
14,V2intent1,V10intent1,0.2352161819303942
15,V10intent1,V2intent1,0.2352161819303942
16,V2intent1,V11intent1,0.45268165018951845
17,V11intent1,V2intent1,0.45268165018951845
18,V2intent1,V12intent1,0.4145696160284162
19,V12intent1,V2intent1,0.4145696160284162
20,V2intent1,V13intent1,0.43653434037010863
21,V13intent1,V2intent1,0.43653434037010863
22,V2intent1,V14intent1,0.4693384866913098
23,V14intent1,V2intent1,0.4693384866913098
24,V2intent1,V15intent1,0.30513696591769235
25,V15intent1,V2intent1,0.30513696591769235
26,V2intent1,V16intent1,0.38346106411659586
27,V16intent1,V2intent1,0.38346106411659586
28,V2intent1,V17intent1,0.3163195291097002
29,V17intent1,V2intent1,0.3163195291097002
30,V2intent1,V18intent1,0.4218003447863206
31,V18intent1,V2intent1,0.4218003447863206
32,V2intent1,V19intent1,0.3867450130815985
33,V19intent1,V2intent1,0.3867450130815985
34,V2intent1,V20intent1,0.2779088568977218
35,V20intent1,V2intent1,0.2779088568977218
36,V2intent1,V21intent1,0.310693014286202
37,V21intent1,V2intent1,0.310693014286202
38,V2intent1,V22intent1,0.382024817710542
39,V22intent1,V2intent1,0.382024817710542
40,V2intent1,V23intent1,0.22638049783740916
41,V23intent1,V2intent1,0.22638049783740916
42,V2intent1,V24intent1,0.27411808847972186
43,V24intent1,V2intent1,0.27411808847972186
44,V2intent1,V25intent1,0.4686032268055978
45,V25intent1,V2intent1,0.4686032268055978
46,V2intent1,V26intent1,0.41518460702315135
47,V26intent1,V2intent1,0.41518460702315135
48,V2intent1,V27intent1,0.3757602234516925
49,V27intent1,V2intent1,0.3757602234516925
50,V2intent1,V28intent1,0.2991857163877231
51,V28intent1,V2intent1,0.2991857163877231
52,V2intent1,V29intent1,0.3128367995634569
53,V29intent1,V2intent1,0.3128367995634569
54,V2intent1,V30intent1,0.37954706538677346
55,V30intent1,V2intent1,0.37954706538677346
56,V2intent1,V31intent1,0.2448949060662927
57,V31intent1,V2intent1,0.2448949060662927
58,V2intent1,V32intent1,0.4478327058175944
59,V32intent1,V2intent1,0.4478327058175944
60,V2intent1,V33intent1,0.4467945791788227
61,V33intent1,V2intent1,0.4467945791788227
62,V2intent1,V34intent1,0.4628702109519876
63,V34intent1,V2intent1,0.4628702109519876
64,V2intent1,V35intent1,0.3906522873146755
65,V35intent1,V2intent1,0.3906522873146755
66,V2intent1,V36intent1,0.47388830522195025
67,V36intent1,V2intent1,0.47388830522195025
68,V2intent1,V37intent1,0.29357243780690273
69,V37intent1,V2intent1,0.29357243780690273
70,V2intent1,V38intent1,0.3894300625358352
71,V38intent1,V2intent1,0.3894300625358352
72,V2intent1,V39intent1,0.18272495044779438
73,V39intent1,V2intent1,0.18272495044779438
76,V2intent1,V41intent1,0.1595157449340322
77,V41intent1,V2intent1,0.1595157449340322
78,V2intent1,V42intent1,0.4578378638665417
79,V42intent1,V2intent1,0.4578378638665417
80,V2intent1,V43intent1,0.38316676076098355
81,V43intent1,V2intent1,0.38316676076098355
82,V2intent1,V44intent1,0.3429713042272254
83,V44intent1,V2intent1,0.3429713042272254
84,V2intent1,V45intent1,0.41444232372723744
85,V45intent1,V2intent1,0.41444232372723744
86,V2intent1,V46intent1,0.39052467311074013
87,V46intent1,V2intent1,0.39052467311074013
88,V2intent1,V47intent1,0.4518711770142801
89,V47intent1,V2intent1,0.4518711770142801
90,V2intent1,V48intent1,0.43866718589860726
91,V48intent1,V2intent1,0.43866718589860726
92,V2intent1,V49intent1,0.4571711331253573
93,V49intent1,V2intent1,0.4571711331253573
94,V2intent1,V50intent1,0.40051400925133485
95,V50intent1,V2intent1,0.40051400925133485
96,V2intent1,V51intent1,0.469324430068685
97,V51intent1,V2intent1,0.469324430068685
98,V2intent1,V52intent1,0.4497354978447617
99,V52intent1,V2intent1,0.4497354978447617
100,V2intent1,V53intent1,0.3865612277878145
101,V53intent1,V2intent1,0.3865612277878145
102,V2intent1,V54intent1,0.19595886750398736
103,V54intent1,V2intent1,0.19595886750398736
104,V2intent1,V55intent1,0.419742725953957
105,V55intent1,V2intent1,0.419742725953957
106,V2intent1,V56intent1,0.37424406644102365
107,V56intent1,V2intent1,0.37424406644102365
108,V2intent1,V57intent1,0.4624964476203889
109,V57intent1,V2intent1,0.4624964476203889
110,V2intent1,V58intent1,0.43414411958423305
111,V58intent1,V2intent1,0.43414411958423305
112,V2intent1,V59intent1,0.4640171853213274
113,V59intent1,V2intent1,0.4640171853213274
114,V2intent1,V60intent1,0.37541260865396736
115,V60intent1,V2intent1,0.37541260865396736
116,V2intent1,V61intent1,0.3680965462547377
117,V61intent1,V2intent1,0.3680965462547377
118,V2intent1,V62intent1,0.21722352201827397
119,V62intent1,V2intent1,0.21722352201827397
120,V2intent1,V63intent1,0.45159377296079223
121,V63intent1,V2intent1,0.45159377296079223
122,V2intent1,V64intent1,0.22571430625896732
123,V64intent1,V2intent1,0.22571430625896732
124,V2intent1,V65intent1,0.5584234566594487
125,V65intent1,V2intent1,0.5584234566594487
126,V2intent1,V66intent1,0.45017546856721075
127,V66intent1,V2intent1,0.45017546856721075
128,V2intent1,V67intent1,0.4550148090430311
129,V67intent1,V2intent1,0.4550148090430311
130,V2intent1,V68intent1,0.3790177146362696
131,V68intent1,V2intent1,0.3790177146362696
132,V2intent1,V69intent1,0.199281895907351
