,f,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0,V2intent1,1.0,0.42222338254967795,0.22927188839727086,0.42677747845203795,0.20007591876078532,0.42770151930238387,0.07366176248869025,0.2975426008497012,0.20507355320759676,0.4144238039076384,0.3782438339119629,0.40089784379442167,0.43288249284224783,0.27003537446960546,0.3487892873201448,0.28273682863740474,0.38642810153651164,0.35266692904238606,0.24599380378919,0.27441232033701274,0.3456504420605609,0.19803443043196928,0.2402612500622526,0.43478406173120826,0.3801798998725077,0.3413870950255677,0.26797426101012173,0.2809288941271507,0.3438624212561847,0.21480124453593077,0.4108314501452886,0.40903498801913096,0.4250428753841419,0.35722705205316346,0.43691952519944355,0.2614473074469703,0.35242739392482786,0.1587208217971149,0.0744331576265501,0.1365787296360837,0.41986603121923594,0.3462895901623437,0.30585961143614493,0.37896916504590866,0.3582140911949353,0.41484113952709845,0.4021188877683056,0.4222906474842108,0.36772111558151,0.4331383173769333,0.4126343469043282,0.349293009972848,0.1648087774957717,0.38210132628936466,0.33696628833838393,0.4288723211375971,0.3988495284502733,0.42874920555075646,0.3404997304850818,0.33032000029905983,0.19240267387581023,0.4174299692268828,0.1962147918926723,0.5237749319082203,0.4126205060199324,0.41477492582652986,0.34118991453737574,0.17433562357531182,0.19761153091728584,0.4338340648744337,0.28630547828491587,0.35450943855421996,0.4134150589698139,0.20243447177245547,0.43149799928972227,0.24244835090307348,0.36798857023045345,0.4207392229568247,0.3306628094883683,0.360650649730208,0.4295044323470336,0.38580637955012786,0.27530245478968846,0.42596918987264465,0.396707224837833,0.16967505761824836,0.33506622505126765,0.1945617741968197,0.4335617792918174,0.02953723710606004,0.40510883582941426,0.33957146768610075,0.3237237413632431,0.21667926201479415,0.40246228101016734,0.13658171037237005,0.35324727592360533,0.33073624452741257,0.40893458855986303
1,V3intent1,0.42222338254967795,1.0,0.25631097138913805,0.4612339969402292,0.22600887147353266,0.4596425699827773,0.08061125437017132,0.3274112357765944,0.2322040633178589,0.4473408174626832,0.41188044404716734,0.43479277944170186,0.46448698881579437,0.2977495956578897,0.37954583245500306,0.3143906060482184,0.4204828576942855,0.3859682323591449,0.276528260246617,0.3031345653541368,0.37964607283201307,0.22539369375511203,0.27043883552895553,0.4675239495717415,0.41446872015588443,0.37648320685921427,0.29754374681318846,0.3114877731671933,0.37804094735398797,0.2422395814477272,0.4409772570447076,0.4432756393707012,0.4581295209337329,0.3904691028983207,0.4665277216178,0.29110864964289185,0.38585524097952,0.18517361641786517,0.08882477084006328,0.15275635404237525,0.4547347102030677,0.37949237728916596,0.34302847225443156,0.412105129622008,0.38726974923994556,0.4425201642503362,0.4314731125677207,0.4553258836984925,0.39527653203841234,0.4641186560041357,0.44443140894294253,0.38104064540061144,0.18966086817861494,0.41411351789072604,0.3754314415514149,0.46103469506879374,0.4320230191914623,0.4613898640596599,0.37546879260770644,0.3628722773284621,0.21749939163626558,0.4479663005550177,0.2201409596025035,0.5546866848008634,0.4449202972335692,0.4480746731646319,0.3703500559682829,0.19482742788315294,0.2282730048024951,0.4661380407008416,0.32043243220038625,0.3912816430853173,0.4483309071747646,0.2266175623788019,0.46180192554228333,0.2743953754343947,0.3997050831622373,0.44956575174145696,0.36298330578389537,0.392797896839074,0.46324157898364626,0.4190230295662099,0.30581284545033555,0.4603083025978161,0.4276522906769276,0.19374502205295893,0.36558645911174203,0.21573148362325195,0.4663218837515979,0.03522464566078975,0.4363240910559098,0.3734040128893267,0.3559863141794869,0.2445661377914915,0.43330486516454164,0.16137940098616946,0.3848172120094843,0.3606487399878133,0.4412815024460825
2,V4intent1,0.22927188839727086,0.25631097138913805,1.0,0.2638004462721026,0.09844621980551305,0.26540082386414904,0.031200743745448106,0.15865147210728406,0.09964437867094797,0.25233564518414386,0.22347670626084126,0.23795476571468335,0.26931617364439603,0.13653527422768938,0.19789800033088517,0.14935267913040032,0.22423777015062116,0.19766198128485138,0.12155284362239939,0.1435803879764103,0.19494691892987961,0.0923757262692171,0.12226544169624237,0.2705581362256258,0.2215052435312715,0.1897635314968347,0.13794911334855842,0.1407214790461215,0.19552091910863348,0.10019486175228025,0.2512348506838612,0.2510262282607974,0.2681183856713007,0.20252460937360597,0.27310557878108865,0.1352261939919766,0.2007474119884107,0.07303427849170517,0.032508069773112734,0.0641058093404367,0.26130629170499386,0.19458242490354027,0.16216902015237497,0.219630800059763,0.20329379584472537,0.25095897530174427,0.24028042470904434,0.2585810742592839,0.20803500814015624,0.2724213431321857,0.2523176670135111,0.19844867572850144,0.07508643758601186,0.22460664033988822,0.1881670284968376,0.2665978943632408,0.24211856871226164,0.26416680534134973,0.19200049492570376,0.18112933069098933,0.09238997992774571,0.25551004611508704,0.09560465672232915,0.3636624902218488,0.24986147442520862,0.25347456618041153,0.19364188640918603,0.077101019540985,0.09772406068163132,0.26888989476302927,0.1513946187726196,0.20614553678416445,0.25246320350600177,0.09631261220343254,0.26471445089881174,0.12109202052880552,0.2140810170267592,0.2541851615485702,0.1762827726949146,0.20916383129029886,0.26502039873250277,0.22530081722823564,0.14382005384530455,0.26682153148602933,0.2370778755536983,0.08226526844959604,0.18209019064313414,0.0939440656623412,0.2644371790626268,0.012090366220189596,0.24149676242472792,0.1848541360597233,0.17381877706265028,0.10142116652401198,0.240333141983333,0.05936721439758151,0.19753831987274753,0.17322285366849796,0.24367774835509137
3,V5intent1,0.4267774784520379,0.4612339969402292,0.26380044627210264,1.0,0.2351913799539254,0.46876497314654814,0.07909236543851492,0.33804352251951797,0.23621259509110387,0.4536873643694746,0.4191490545971362,0.44186876680723575,0.4760294112838965,0.3065735674244549,0.3858505879480258,0.32080292111492753,0.42869399896146254,0.39681272434636056,0.28072085230600163,0.3125051895334307,0.39063351420687387,0.23571930782866993,0.2766875366854964,0.47659533838370655,0.4200885975539634,0.3848731525826646,0.30642809781054436,0.3216692992672007,0.3840019047494609,0.24659232946322932,0.450348894599268,0.4520690637790298,0.46794976998347426,0.39506521244618586,0.47423076258789865,0.3035791874462533,0.39609893919422245,0.18967534913910006,0.08880412902991629,0.15691627806415592,0.46234502948316847,0.3892312713050565,0.343409723993261,0.420963836840869,0.39761422816006237,0.45405539010864004,0.4390245555927248,0.465727814982345,0.40559952268344907,0.4752216724206571,0.4552390479275952,0.38760971404513916,0.19742283502161237,0.42266350940938446,0.37729415520314036,0.46892103299412846,0.4408499401801227,0.4708404239081472,0.3851684894441797,0.3704228591670871,0.22423265349274676,0.45650391110990535,0.2330423693148972,0.5624679429190614,0.4534380759680462,0.4544904264096064,0.3808492771159007,0.20612025659661104,0.2338545632683428,0.4740404150962692,0.3283672964660822,0.39711970635881727,0.4558891881483066,0.23702650518094168,0.4717682661726388,0.280009896367738,0.41181715880461944,0.45985893711215464,0.371935623130845,0.4007651607450146,0.4710961973606548,0.42707911915854385,0.3135109247259422,0.4644440216588168,0.43787058204451,0.196203631426938,0.37633596521113294,0.2203562442591622,0.47239317021521576,0.037559532265920646,0.44492168874908067,0.3767637126582433,0.36323646131500725,0.24834859075075275,0.4419253665545985,0.16458926955642067,0.39429680225512764,0.3712911728156148,0.44882734131095264
4,V6intent1,0.20007591876078532,0.22600887147353266,0.09844621980551305,0.2351913799539254,1.0,0.23140718652641543,0.02518549425182765,0.1401867913283179,0.08777880350549412,0.2166829212254661,0.18603565433786554,0.20571460436948896,0.23515375997678842,0.1202392977285402,0.1631914231187653,0.12634784608323527,0.19636986219471794,0.17368489642459786,0.10418520826328195,0.12427157369442404,0.16825095763884346,0.07890362832425289,0.10063779285683257,0.2370178827801726,0.1911217968568365,0.16394795668863543,0.11678274816894622,0.11938553342813718,0.1642674585623411,0.087407873669132,0.2177533014953253,0.21442899464322668,0.23148794232042386,0.17343316787992294,0.2404778170404446,0.11378819144552904,0.17575072934608052,0.05969676761625356,0.025682057820932244,0.0505082029958801,0.22935948113137108,0.16604316216148451,0.13780430484197956,0.19632084957557838,0.17149695097733209,0.21773346118695483,0.21005387222555755,0.22568335457965347,0.18353183509434745,0.2379797799556495,0.21965477266849617,0.16758813538347572,0.06601311697370381,0.1930849940941988,0.16199021799452065,0.23356571684233127,0.21240627447716948,0.2302849472943444,0.16524343865006957,0.15891157149227733,0.07242295709030527,0.21931965245870483,0.07455721176355214,0.32448224298002726,0.22399096917660632,0.21921025187281987,0.160568578018672,0.07040376435791075,0.07781397949213173,0.23651696652846965,0.12271400883857876,0.1754912689628349,0.22220775110517313,0.08130520373236512,0.23505053692502947,0.09846512222131595,0.18394657699910394,0.2183995166167974,0.15658411485926604,0.17892985527748495,0.23648036098724431,0.20002930534119354,0.12300130557882942,0.23616693718058784,0.20028045318385074,0.06598423357496969,0.15483500447564408,0.07791502877030856,0.23466820665437474,0.011947634339916675,0.21330779705905478,0.16479614573676754,0.1551866366287688,0.08699408314564215,0.2130605527760639,0.056025026234148775,0.17403354814467153,0.15681652199210724,0.22013705224246186
5,V7intent1,0.42770151930238387,0.4596425699827773,0.26540082386414904,0.46876497314654814,0.23140718652641543,1.0,0.0780571258487059,0.3311137233333103,0.2362955008178308,0.44887208352763314,0.4194012426905523,0.4414158787262205,0.47122748970216727,0.3043381247115421,0.38427837860945135,0.3207609797008517,0.4241069268803235,0.3957545297956078,0.2778196865679674,0.308547637495552,0.38295948988328976,0.23089351843223033,0.2763920760797022,0.47335872002932955,0.417265962186981,0.38070350543357434,0.30389249050487444,0.3169339310160759,0.3836208969175499,0.24423367310726232,0.45003109863264773,0.4457095216152597,0.46549552124519283,0.39605512527644,0.4705684939050417,0.2986952557669978,0.39368971689010895,0.18338811915031428,0.08692454913787426,0.15535806483466785,0.4604625980235966,0.38570214531271857,0.3418185261505051,0.41614625385706094,0.3942733653079558,0.4514701320558339,0.43912898002214545,0.46251523525080457,0.40421347264791196,0.4732346272720953,0.4522685267823071,0.39061402332836287,0.19178692785967527,0.41954599945879406,0.37935191257640116,0.4658122202320436,0.4407691456249454,0.46731911142253957,0.3821588164071582,0.36655152075785874,0.22106541593398307,0.4543518184108975,0.22716378036362733,0.5585382160979229,0.4522085895662235,0.45277413336857314,0.38041618285305895,0.20108652643427966,0.23356033488971026,0.4688070681496428,0.32609939411071437,0.39729678213693587,0.4499653821043711,0.22571532991074317,0.4692976458405767,0.27800950163952765,0.40689492939636696,0.4555591007866946,0.36995624676954436,0.39968425584178124,0.46765188593492696,0.42775964417646295,0.3109038820309605,0.46477206736000637,0.4337406662812293,0.198943440747887,0.37196335426038346,0.22095684897696047,0.47050480825176466,0.03534407562762086,0.44313567807480153,0.37426864096786494,0.36233514545378936,0.24937121787177452,0.4388446457273717,0.16451960647389866,0.3938728281019212,0.36895210455128585,0.4466831852478768
6,V8intent1,0.07366176248869026,0.08061125437017132,0.031200743745448112,0.07909236543851492,0.02518549425182765,0.0780571258487059,1.0,0.04468782484069762,0.026099862593353427,0.07776645797156721,0.06502589031220085,0.0713624313485332,0.08309152193194574,0.039392492929721724,0.059159272307806675,0.039462438008077014,0.0654172526618321,0.05541548029809547,0.03303097751954644,0.04015192327272918,0.05720455024870308,0.025572861868629896,0.033924629787798186,0.0810393748618838,0.06672322852186921,0.05426046127817008,0.03317821115738487,0.03961770387661204,0.05345919976558004,0.028443186943009274,0.07365986370248764,0.07725568402230922,0.07828913192221992,0.058187873082728714,0.08079250152914111,0.037674110308281245,0.06124502303665442,0.01834726971792143,0.010223520855541462,0.01617630771616725,0.08152998915980851,0.054740750420765164,0.045493184995775995,0.06393901021075897,0.061030060936407,0.06994222507373363,0.06734914305633904,0.07577081094636037,0.06441231370161091,0.08561479158911603,0.07403486611071645,0.05108539048945624,0.018926078857645613,0.0689416631373634,0.05379958492993737,0.07803107632049612,0.07589978386639246,0.08118751909817566,0.05273024945114988,0.052821371086901166,0.02406919967606964,0.08161606973431436,0.026795130289101382,0.1318385986410117,0.07756173451036733,0.07425429803472615,0.05952361663753851,0.02164630418781043,0.031102392759066542,0.08706881778233426,0.04448071988538991,0.05983118909921188,0.07453930916160048,0.026521343593874036,0.08013012864812447,0.03306850039785096,0.060996088658405764,0.07619051014451574,0.0511635651184639,0.06248715992607717,0.08098826226104186,0.06304222539008664,0.035754425145285935,0.08368652978867523,0.0718617812228527,0.022314440353312263,0.05438057687358638,0.025379352515463163,0.08258075728860743,0.0034271164276658862,0.07548609452946421,0.054364530799294,0.0511387846331302,0.031035725372829795,0.07312657929281692,0.015400251235560504,0.055954744845952795,0.0515440641209781,0.0741397743584844
7,V9intent1,0.29754260084970124,0.32741123577659437,0.15865147210728406,0.33804352251951797,0.14018679132831788,0.3311137233333103,0.04468782484069762,1.0,0.13644326564813986,0.31904246126838176,0.29087670885981304,0.3070268790417625,0.3427750232896009,0.1926032271491994,0.26000627622633926,0.20411648931382545,0.2966137398682227,0.26664757271478967,0.16661506442099686,0.1929956937530455,0.2586508659002461,0.13392065468906733,0.16656528819652916,0.34295806245752775,0.29018774285575955,0.2554820531339578,0.1813494531663352,0.19533887963206295,0.2532868164897013,0.14384589693892028,0.321295472163553,0.3206974560086974,0.3343996949495337,0.2676058668001082,0.33953701451989693,0.18046988697397892,0.26507130314820776,0.10463203884679549,0.05051808902104522,0.0820435506998779,0.3297928738536764,0.2558439878286204,0.22276240811448933,0.28814557585761036,0.2672248960671616,0.31878268314302693,0.30698485138137954,0.3284122061117901,0.2761191307232988,0.3423033745229077,0.32186405404109036,0.25604916320183924,0.11391265923337457,0.2918377440208744,0.24833305540036882,0.3360649070324775,0.30846884379318124,0.3346779350760604,0.25273844316866484,0.23787479833420522,0.1305806851384301,0.31999020815431733,0.13322563553438074,0.4333840487812786,0.3176645055115687,0.32289071137392195,0.25498715725425564,0.1101262751656484,0.13075659060603026,0.3408228805674548,0.20422006381525887,0.26692729084789035,0.31855481909585454,0.13297244507499725,0.3369080041982366,0.16677602104140252,0.2816653375961351,0.3252736891850053,0.24413415734051186,0.27183811709050637,0.33806445079365044,0.29534218521068867,0.1947738958396254,0.33255855136662227,0.3015516507330396,0.11407110393334695,0.24872654947282985,0.12376215331387615,0.33829189859581793,0.018952753331170854,0.31056694945979335,0.25154909768149114,0.23735805615047664,0.1500612485682191,0.31317181369855907,0.09307036558622662,0.264177991421116,0.24249646879994904,0.32044584837772755
8,V10intent1,0.20507355320759676,0.2322040633178589,0.09964437867094797,0.23621259509110387,0.08777880350549412,0.23629550081783077,0.02609986259335343,0.13644326564813986,1.0,0.2263333292136765,0.19829312067391985,0.22016736269061654,0.24004879631633677,0.12123196308317667,0.1740934629302691,0.1278892587619702,0.20059054541719087,0.17800758113150097,0.10305952365202359,0.12063850933151524,0.17008859994857584,0.08472967878190041,0.10212074545796371,0.24500541292244085,0.1977938508615173,0.1735482554850561,0.11756824616500593,0.12009845304150193,0.1712971814981954,0.08779005659284442,0.22156526868543544,0.22490438857157422,0.23758750494139033,0.17915339527575583,0.24556917204324938,0.11454938641600292,0.1736522095568305,0.06627595346127454,0.03111747043621961,0.058904543434290656,0.2327056681574631,0.17466539292821603,0.1465275076437766,0.2015981050631745,0.17732436433132073,0.22855780120592042,0.2148102297193604,0.23249604449891537,0.1852867226042734,0.24357217876542553,0.22127504271548706,0.17196860518187815,0.06959392005168645,0.19503332018310307,0.16448242464441545,0.24154116908246664,0.2139234173727243,0.241794558661647,0.17164723950460795,0.16063634653646938,0.08070864834066904,0.22552626366395348,0.08041342066745147,0.32936733790245803,0.22293625169449258,0.22731348248031663,0.16605798385682566,0.0684720329810969,0.07805062076664752,0.24275732564813818,0.13515915454870261,0.1820773703453566,0.2245800641403426,0.08234024066138573,0.2390597971548119,0.10542991685299642,0.18903813996701743,0.22655173056524971,0.16689647971387248,0.18242757136694598,0.24181640576853505,0.2054650928539605,0.12600271385418899,0.23850360803861942,0.20788324655316395,0.06964316515558422,0.15890557295023083,0.0814126542688856,0.24263224348387855,0.014172042331895606,0.217352849119557,0.16682612951936068,0.1561795014790239,0.09523106540669393,0.21472936917091115,0.05327485665897777,0.17785153661713402,0.15920127511673132,0.2173161636065968
9,V11intent1,0.4144238039076384,0.4473408174626832,0.2523356451841439,0.4536873643694746,0.21668292122546606,0.44887208352763325,0.07776645797156721,0.31904246126838176,0.2263333292136765,1.0,0.403283423482453,0.42898188288208755,0.4570933785822803,0.2912641474678498,0.3744814801438656,0.3088747261687671,0.4099255034044449,0.3812458029748349,0.2685422673768714,0.29836969573696376,0.37454902680337226,0.21991632775299838,0.26399262492601056,0.45959547369024795,0.4082553846862822,0.36571126947110694,0.28894222748818527,0.30004521311957877,0.3724935098302686,0.23600938135318056,0.43525351177079974,0.4350186246570789,0.4506920454222169,0.37974812793112944,0.4588626326000612,0.2839502176893222,0.38090464664739954,0.17967704580952792,0.08289692886940407,0.14678016052726178,0.44530452535707477,0.37137714812577627,0.3317548664884327,0.4034609637612577,0.3848297767202734,0.435788394752488,0.423886578500848,0.44561358754715447,0.3921109385382135,0.4580098840931296,0.4374148582743746,0.37121641172612574,0.18292965391461652,0.4037682545360443,0.36262818366652977,0.45417061274996423,0.42714209836914074,0.4554872767764935,0.3656907301437681,0.35278274523070563,0.2133094677470876,0.44118194527377563,0.2138956176092257,0.5456557698897637,0.43640331296599183,0.438892621424519,0.3662674593232834,0.1840859007736053,0.22208603257040932,0.4585347718324624,0.3090458396380407,0.3813551454202541,0.4394167606619084,0.21957587329453074,0.453453557539753,0.2640265722195662,0.3922652418460742,0.4445328493455522,0.3552580337335845,0.38454025677651144,0.4538082376017859,0.41231657940339966,0.2959263731930964,0.45070922116764894,0.41979817661551344,0.19045263575985547,0.3624075223605955,0.20599885350000308,0.455237880758678,0.028960465156303378,0.43040943384220426,0.36546968103623795,0.3481868672864613,0.23733250018395657,0.427414800584829,0.15341486930532588,0.37923833610816987,0.3548613893144646,0.4339971588204358
