,f,mi
0,V2intent1,0.016169946252442165
1,V3intent1,0.022347115919636916
2,V4intent1,0.008604374825498097
3,V5intent1,0.023077305032565817
4,V6intent1,0.006427317547637485
5,V7intent1,0.019194547611176865
6,V8intent1,0.0017665555704707663
7,V9intent1,0.009967730110703966
8,V10intent1,0.006642454492285756
9,V11intent1,0.01975389183950823
10,V12intent1,0.01839375131379174
11,V13intent1,0.018457570196716813
12,V14intent1,0.021425742271522018
13,V15intent1,0.008988899127064439
14,V16intent1,0.013505410922666253
15,V17intent1,0.00876105880319702
16,V18intent1,0.017189608763909438
17,V19intent1,0.011803301412712668
18,V20intent1,0.008421335970617996
19,V21intent1,0.010455988668109085
20,V22intent1,0.010909563496778994
21,V23intent1,0.004695622285262059
22,V24intent1,0.008672090045820867
23,V25intent1,0.01841450393312736
24,V26intent1,0.016205526943018952
25,V27intent1,0.015523993277227694
26,V28intent1,0.007313505393326968
27,V29intent1,0.01037849160870971
28,V30intent1,0.013586404284370985
29,V31intent1,0.006003196773725323
30,V32intent1,0.0168844792956978
31,V33intent1,0.020047524399382368
32,V34intent1,0.020194588447595
33,V35intent1,0.014465385536403719
34,V36intent1,0.021603561628552422
35,V37intent1,0.011203002023348927
36,V38intent1,0.013218222282755137
37,V39intent1,0.007932581373602707
38,V40intent1,0.0021040324660131582
39,V41intent1,0.003724848459843995
40,V42intent1,0.018672482897174568
41,V43intent1,0.015559375562868415
42,V44intent1,0.01033005658943023
43,V45intent1,0.021601326831782466
44,V46intent1,0.015641144107079168
45,V47intent1,0.017948952739906453
46,V48intent1,0.019272584804645835
47,V49intent1,0.018402015819504285
48,V50intent1,0.013556103951718888
49,V51intent1,0.021569972493958017
50,V52intent1,0.020387705409762178
51,V53intent1,0.011331416100631845
52,V54intent1,0.005984102053368406
53,V55intent1,0.017013211828062206
54,V56intent1,0.012336828478095774
55,V57intent1,0.022950059341493485
56,V58intent1,0.01941145815886947
57,V59intent1,0.021021803881596666
58,V60intent1,0.012454708086207219
59,V61intent1,0.012119999562819707
60,V62intent1,0.005871656656127659
61,V63intent1,0.020979074548880837
62,V64intent1,0.004905840505950986
63,V65intent1,0.04195899944320787
64,V66intent1,0.01927603244931444
65,V67intent1,0.023355303005433887
66,V68intent1,0.015176110942773591
67,V69intent1,0.00529033249528271
68,V70intent1,0.008124693423212244
69,V71intent1,0.021993447886196164
70,V72intent1,0.01435420513929889
71,V73intent1,0.012902003318621314
72,V74intent1,0.018382240169396154
73,V75intent1,0.005085673057789045
74,V76intent1,0.022087234251370217
75,V77intent1,0.009609157928191303
76,V78intent1,0.014780855037085216
77,V79intent1,0.02001703972507853
78,V80intent1,0.013279479161497625
79,V81intent1,0.013989781088520092
80,V82intent1,0.02008206337495315
81,V83intent1,0.015605397692847457
82,V84intent1,0.009606677214476137
83,V85intent1,0.01845601456117643
84,V86intent1,0.016737896160308283
85,V87intent1,0.005133559018407607
86,V88intent1,0.012495194532802012
87,V89intent1,0.00479178165666356
88,V90intent1,0.024465753274238066
89,V91intent1,0.001380553445453817
90,V92intent1,0.018094457004180487
91,V93intent1,0.012186540053989491
92,V94intent1,0.012094658705494818
93,V95intent1,0.005181629206336566
94,V96intent1,0.015676509048526393
95,V97intent1,0.005203526366691866
96,V98intent1,0.01418993461069335
97,V99intent1,0.011706077988677803
98,V100intent1,0.02222168068421981
99,V2intent2,0.022808491990145837
100,V3intent2,0.024384047779604283
101,V4intent2,0.01179934103801708
102,V5intent2,0.02933097097910109
103,V6intent2,0.00857824838292189
104,V7intent2,0.025630876629055655
105,V8intent2,0.0013050436766566713
106,V9intent2,0.0146769700829809
107,V10intent2,0.006584765892944463
108,V11intent2,0.025778847850134963
109,V12intent2,0.02263993494283005
110,V13intent2,0.02108888096779261
111,V14intent2,0.02675242341086038
112,V15intent2,0.012609702762425044
113,V16intent2,0.016513517898834124
114,V17intent2,0.011493189513720225
115,V18intent2,0.019641153297840105
116,V19intent2,0.016867420030093273
117,V20intent2,0.011024605594591307
118,V21intent2,0.015091468545564053
119,V22intent2,0.015501494463066177
120,V23intent2,0.006871855646121656
121,V24intent2,0.010713516667176732
122,V25intent2,0.027341051815053297
123,V26intent2,0.02166348367568191
124,V27intent2,0.017028425987216437
125,V28intent2,0.01082104415413737
126,V29intent2,0.012682220224785492
127,V30intent2,0.01778675806991982
128,V31intent2,0.008693192939243326
129,V32intent2,0.023101486083710304
130,V33intent2,0.02495634375878701
131,V34intent2,0.027983656260452783
132,V35intent2,0.0167639888566861
133,V36intent2,0.030437064876808844
134,V37intent2,0.012446013346141187
135,V38intent2,0.020787233949021926
136,V39intent2,0.009628223171048528
137,V40intent2,0.0012924427102575678
138,V41intent2,0.004606907073455786
139,V42intent2,0.024526550805129967
140,V43intent2,0.020427808398310605
141,V44intent2,0.013380940931015575
142,V45intent2,0.02804223406790425
143,V46intent2,0.020149191240732278
144,V47intent2,0.02463159458523524
145,V48intent2,0.024149610563999193
146,V49intent2,0.024621158007815096
147,V50intent2,0.015570355209071835
148,V51intent2,0.03138593745759982
149,V52intent2,0.025324460226386042
150,V53intent2,0.016179029931682746
151,V54intent2,0.009102814436795255
152,V55intent2,0.022141360052228463
153,V56intent2,0.019478817804999757
154,V57intent2,0.029505364749960118
155,V58intent2,0.024484844285805083
156,V59intent2,0.02763416970935916
157,V60intent2,0.015448643036456258
158,V61intent2,0.01695490367625085
159,V62intent2,0.006658155787627925
160,V63intent2,0.029776350265337526
161,V64intent2,0.006306148406519046
162,V65intent2,0.05052043374075341
163,V66intent2,0.023533341852289336
164,V67intent2,0.02750558149507257
165,V68intent2,0.019552015210076015
166,V69intent2,0.0063015066704115545
167,V70intent2,0.01007691394771076
168,V71intent2,0.03459551504185839
169,V72intent2,0.016008231708691253
170,V73intent2,0.020170667331030852
171,V74intent2,0.025269896882449266
172,V75intent2,0.0080788528743397
173,V76intent2,0.030449864585234784
174,V77intent2,0.013203450293371598
175,V78intent2,0.02134565311099684
176,V79intent2,0.025663419727720276
