,f,mi
0,age_gt_60fnormal,0.0
1,airfnormal,0.27461161874486173
2,airBoneGapfnormal,0.27787276794444343
3,ar_cfnormal,0.27009141437844153
4,ar_ufnormal,0.2798499245630468
5,bonefnormal,0.33974936365215996
6,boneAbnormalfnormal,0.10007101749117236
7,bserfnormal,0.19796504843412727
8,history_buzzingfnormal,0.0
9,history_dizzinessfnormal,0.15822756615179864
10,history_fluctuatingfnormal,0.24235080002190248
11,history_fullnessfnormal,0.0
12,history_heredityfnormal,0.0
13,history_nauseafnormal,0.1691462420069478
14,history_noisefnormal,0.27588982000145057
15,history_recruitmentfnormal,0.10374553587590166
16,history_ringingfnormal,0.11290423148975573
17,history_roaringfnormal,0.07335712733398796
18,history_vomitingfnormal,0.056613429801291915
19,late_wave_poorfnormal,0.09134001703047047
20,m_at_2kfnormal,0.05067017034911615
21,m_cond_lt_1kfnormal,0.0
22,m_gt_1kfnormal,0.0
23,m_m_gt_2kfnormal,0.01696591346457392
24,m_m_snfnormal,0.0
25,m_m_sn_gt_1kfnormal,0.0
26,m_m_sn_gt_2kfnormal,0.0
27,m_m_sn_gt_500fnormal,0.0
28,m_p_sn_gt_2kfnormal,0.0
29,m_s_gt_500fnormal,0.0
30,m_s_snfnormal,0.0
31,m_s_sn_gt_1kfnormal,0.0
32,m_s_sn_gt_2kfnormal,0.0
33,m_s_sn_gt_3kfnormal,0.0
34,m_s_sn_gt_4kfnormal,0.0
35,m_sn_2_3kfnormal,0.01696591346457392
36,m_sn_gt_1kfnormal,0.15394033675585664
37,m_sn_gt_2kfnormal,0.12093802289099519
38,m_sn_gt_3kfnormal,0.046265733616070503
39,m_sn_gt_4kfnormal,0.04706661450100976
40,m_sn_gt_500fnormal,0.05067017034911615
41,m_sn_gt_6kfnormal,0.0
42,m_sn_lt_1kfnormal,0.10374553587590166
43,m_sn_lt_2kfnormal,0.01696591346457392
44,m_sn_lt_3kfnormal,0.01696591346457392
45,middle_wave_poorfnormal,0.09134001703047047
46,mod_gt_4kfnormal,0.0
47,mod_mixedfnormal,0.0
48,mod_s_mixedfnormal,0.0
49,mod_s_sn_gt_500fnormal,0.0
50,mod_snfnormal,0.0
51,mod_sn_gt_1kfnormal,0.0
52,mod_sn_gt_2kfnormal,0.0
53,mod_sn_gt_3kfnormal,0.05948121475417784
54,mod_sn_gt_4kfnormal,0.04942766161314697
55,mod_sn_gt_500fnormal,0.0
56,notch_4kfnormal,0.08141458415406445
57,notch_at_4kfnormal,0.20955259603070184
58,o_ar_cfnormal,0.24756815757292802
59,o_ar_ufnormal,0.23638285510758086
60,s_sn_gt_1kfnormal,0.0
61,s_sn_gt_2kfnormal,0.0
62,s_sn_gt_4kfnormal,0.07897280159443894
63,speechfnormal,0.0
64,static_normalfnormal,0.23633719000578388
65,tympfnormal,0.4479920112953908
66,viith_nerve_signsfnormal,0.09134001703047047
67,wave_V_delayedfnormal,0.0
68,waveform_ItoV_prolongedfnormal,0.05681398675815684
69,indentifierfnormal,0.6190126639890056
70,age_gt_60fgood,0.0
71,airfgood,0.4497704604042801
72,airBoneGapfgood,0.34846442662804916
73,ar_cfgood,0.37894183116494146
74,ar_ufgood,0.47824664287258206
75,bonefgood,0.49378757181630756
76,boneAbnormalfgood,0.050538075265569644
77,bserfgood,0.0
78,history_buzzingfgood,0.0
79,history_dizzinessfgood,0.5007803617835933
80,history_fluctuatingfgood,0.34846442662804916
81,history_fullnessfgood,0.0
82,history_heredityfgood,0.34846442662804916
83,history_nauseafgood,0.0
84,history_noisefgood,0.5007803617835933
85,history_recruitmentfgood,0.0
86,history_ringingfgood,0.34846442662804916
87,history_roaringfgood,0.34846442662804916
88,history_vomitingfgood,0.0
