,f,mi
0,age_gt_60fnormal,0.0
1,airfnormal,0.23576813521872894
2,airBoneGapfnormal,0.2599760161347025
3,ar_cfnormal,0.23531408572924412
4,ar_ufnormal,0.25610331239693185
5,bonefnormal,0.32572655735344175
6,boneAbnormalfnormal,0.08608583392295832
7,bserfnormal,0.16393235867585362
8,history_buzzingfnormal,0.0
9,history_dizzinessfnormal,0.16047307466083532
10,history_fluctuatingfnormal,0.21656546763258827
11,history_fullnessfnormal,0.0
12,history_heredityfnormal,0.0
13,history_nauseafnormal,0.1805913746434751
14,history_noisefnormal,0.2692873615268197
15,history_recruitmentfnormal,0.09315726928497951
16,history_ringingfnormal,0.10091903691302609
17,history_roaringfnormal,0.08826395235240828
18,history_vomitingfnormal,0.05282411316364534
19,late_wave_poorfnormal,0.07979810179537439
20,m_at_2kfnormal,0.0454573474977766
21,m_cond_lt_1kfnormal,0.0
22,m_gt_1kfnormal,0.0
23,m_m_gt_2kfnormal,0.015087041172863391
24,m_m_snfnormal,0.0
25,m_m_sn_gt_1kfnormal,0.0
26,m_m_sn_gt_2kfnormal,0.03016758064443445
27,m_m_sn_gt_500fnormal,0.0
28,m_p_sn_gt_2kfnormal,0.0
29,m_s_gt_500fnormal,0.0
30,m_s_snfnormal,0.0
31,m_s_sn_gt_1kfnormal,0.0
32,m_s_sn_gt_2kfnormal,0.0
33,m_s_sn_gt_3kfnormal,0.0
34,m_s_sn_gt_4kfnormal,0.0
35,m_sn_2_3kfnormal,0.015087041172863391
36,m_sn_gt_1kfnormal,0.13854730537547816
37,m_sn_gt_2kfnormal,0.11198112049478745
38,m_sn_gt_3kfnormal,0.03862336780265355
39,m_sn_gt_4kfnormal,0.044021882423653846
40,m_sn_gt_500fnormal,0.0454573474977766
41,m_sn_gt_6kfnormal,0.0
42,m_sn_lt_1kfnormal,0.09315726928497951
43,m_sn_lt_2kfnormal,0.015087041172863391
44,m_sn_lt_3kfnormal,0.015087041172863391
45,middle_wave_poorfnormal,0.07979810179537439
46,mod_gt_4kfnormal,0.015087041172863391
47,mod_mixedfnormal,0.0
48,mod_s_mixedfnormal,0.0
49,mod_s_sn_gt_500fnormal,0.0
50,mod_snfnormal,0.0
