,i,j,mi
0,airf,airBoneGapf,0.23533921850703002
1,airBoneGapf,airf,0.23533921850703002
2,airf,ar_cf,0.15478403718880485
3,ar_cf,airf,0.15478403718880485
4,airf,ar_uf,0.2198471976625919
5,ar_uf,airf,0.2198471976625919
6,airf,bonef,0.18979673121401908
7,bonef,airf,0.18979673121401908
112,airf,o_ar_cf,0.14460219031326924
113,o_ar_cf,airf,0.14460219031326924
122,airf,speechf,0.20630503724312213
123,speechf,airf,0.20630503724312213
126,airf,tympf,0.19929407048076145
127,tympf,airf,0.19929407048076145
134,airf,indentifierf,0.3793627486265602
135,indentifierf,airf,0.3793627486265602
136,airBoneGapf,airf,0.23533921850703002
137,airf,airBoneGapf,0.23533921850703002
138,airBoneGapf,ar_cf,0.2793747119081094
139,ar_cf,airBoneGapf,0.2793747119081094
140,airBoneGapf,ar_uf,0.34746839477671304
141,ar_uf,airBoneGapf,0.34746839477671304
248,airBoneGapf,o_ar_cf,0.29766897155599553
249,o_ar_cf,airBoneGapf,0.29766897155599553
250,airBoneGapf,o_ar_uf,0.1320679318450663
251,o_ar_uf,airBoneGapf,0.1320679318450663
262,airBoneGapf,tympf,0.6178954126849595
263,tympf,airBoneGapf,0.6178954126849595
270,airBoneGapf,indentifierf,0.16319340293716855
271,indentifierf,airBoneGapf,0.16319340293716855
272,ar_cf,airf,0.1547840371888049
273,airf,ar_cf,0.1547840371888049
274,ar_cf,airBoneGapf,0.2793747119081094
275,airBoneGapf,ar_cf,0.2793747119081094
276,ar_cf,ar_uf,0.3779936232788242
277,ar_uf,ar_cf,0.3779936232788242
278,ar_cf,bonef,0.19279743903590413
279,bonef,ar_cf,0.19279743903590413
384,ar_cf,o_ar_cf,0.5368904920831661
385,o_ar_cf,ar_cf,0.5368904920831661
386,ar_cf,o_ar_uf,0.3598500820111715
387,o_ar_uf,ar_cf,0.3598500820111715
394,ar_cf,speechf,0.11327456950568592
395,speechf,ar_cf,0.11327456950568592
398,ar_cf,tympf,0.28156376607660455
399,tympf,ar_cf,0.28156376607660455
406,ar_cf,indentifierf,0.3654417200727601
407,indentifierf,ar_cf,0.3654417200727601
408,ar_uf,airf,0.2198471976625919
409,airf,ar_uf,0.2198471976625919
410,ar_uf,airBoneGapf,0.34746839477671304
411,airBoneGapf,ar_uf,0.34746839477671304
412,ar_uf,ar_cf,0.3779936232788242
413,ar_cf,ar_uf,0.3779936232788242
414,ar_uf,bonef,0.126745168079559
415,bonef,ar_uf,0.126745168079559
520,ar_uf,o_ar_cf,0.3397958540022858
521,o_ar_cf,ar_uf,0.3397958540022858
