,f,mi
0,airf,0.2869677666902055
1,airBoneGapf,0.3200989984622725
2,ar_cf,0.28277014950287493
3,ar_uf,0.292247532013615
4,bonef,0.30246042399009415
5,boneAbnormalf,0.14724058512129126
6,bserf,0.12396747873048225
7,history_buzzingf,0.03275865905089812
8,history_dizzinessf,0.11507397618301861
9,history_fluctuatingf,0.16644501564066347
10,history_fullnessf,0.03275865905089812
11,history_heredityf,0.07449073146879213
12,history_nauseaf,0.10801537618595047
13,history_noisef,0.2727875820149802
14,history_recruitmentf,0.046703567746044165
15,history_ringingf,0.09763897799588882
16,history_roaringf,0.05264814718658398
17,history_vomitingf,0.026533305541929397
18,late_wave_poorf,0.07449073146879215
19,m_at_2kf,0.0245081220093561
20,m_cond_lt_1kf,0.0
21,m_gt_1kf,0.03275865905089812
22,m_m_gt_2kf,0.007065955842956335
23,m_m_snf,0.0
24,m_m_sn_gt_1kf,0.007065955842956335
25,m_m_sn_gt_2kf,0.030629443731445372
26,m_m_sn_gt_500f,0.007065955842956335
27,m_p_sn_gt_2kf,0.0
28,m_s_gt_500f,0.007065955842956335
29,m_s_snf,0.0
30,m_s_sn_gt_1kf,0.0
31,m_s_sn_gt_2kf,0.0
32,m_s_sn_gt_3kf,0.0
33,m_s_sn_gt_4kf,0.0
34,m_sn_2_3kf,0.007065955842956335
35,m_sn_gt_1kf,0.07162931377198299
36,m_sn_gt_2kf,0.07567522589852066
37,m_sn_gt_3kf,0.019184753237596233
38,m_sn_gt_4kf,0.022320810119802106
39,m_sn_gt_500f,0.0245081220093561
40,m_sn_gt_6kf,0.0
41,m_sn_lt_1kf,0.07152477404259887
42,m_sn_lt_2kf,0.007065955842956335
43,m_sn_lt_3kf,0.007065955842956335
44,middle_wave_poorf,0.07449073146879215
45,mod_gt_4kf,0.007065955842956335
46,mod_mixedf,0.0
47,mod_s_mixedf,0.0
48,mod_s_sn_gt_500f,0.0
49,mod_snf,0.0
50,mod_sn_gt_1kf,0.007065955842956335
51,mod_sn_gt_2kf,0.019184753237596233
52,mod_sn_gt_3kf,0.0377133139633138
53,mod_sn_gt_4kf,0.02085163295681135
54,mod_sn_gt_500f,0.01400024528885045
55,notch_4kf,0.06586091706456046
56,notch_at_4kf,0.16681953807376984
57,o_ar_cf,0.2881115043643837
58,o_ar_uf,0.22721260828693807
59,s_sn_gt_1kf,0.015348489900792295
60,s_sn_gt_2kf,0.07452519826577438
61,s_sn_gt_4kf,0.030629443731445372
62,speechf,0.22663513875768682
63,static_normalf,0.15891976852449982
64,tympf,0.4912605329570936
65,viith_nerve_signsf,0.043010062606625384
66,wave_V_delayedf,0.07449073146879213
67,waveform_ItoV_prolongedf,0.054317738051873184
68,indentifierf,0.6137663393180699
69,airt,0.24855059901553517
70,airBoneGapt,0.21525654697097726
71,ar_ct,0.178932515682931
72,ar_ut,0.21351876433393985
73,bonet,0.2223086029387346
74,boneAbnormalt,0.07630191095579046
75,bsert,0.0
76,history_buzzingt,0.0
77,history_dizzinesst,0.13558929038445586
78,history_fluctuatingt,0.08151880046078491
79,history_fullnesst,0.0
80,history_heredityt,0.0
81,history_nauseat,0.19488452572363757
82,history_noiset,0.4747739837742235
83,history_recruitmentt,0.0
84,history_ringingt,0.0
85,history_roaringt,0.07957864780862815
86,history_vomitingt,0.07957864780862815
87,late_wave_poort,0.0
88,m_at_2kt,0.0
89,m_cond_lt_1kt,0.0
90,m_gt_1kt,0.0
91,m_m_gt_2kt,0.010483899097568488
92,m_m_snt,0.025046098205865747
93,m_m_sn_gt_1kt,0.11473438284170198
94,m_m_sn_gt_2kt,0.010483899097568488
95,m_m_sn_gt_500t,0.0
96,m_p_sn_gt_2kt,0.0
97,m_s_gt_500t,0.0
98,m_s_snt,0.030266769435382288
99,m_s_sn_gt_1kt,0.0
100,m_s_sn_gt_2kt,0.06365249470983932
101,m_s_sn_gt_3kt,0.010483899097568488
102,m_s_sn_gt_4kt,0.010483899097568488
103,m_sn_2_3kt,0.0
104,m_sn_gt_1kt,0.05128742141733807
105,m_sn_gt_2kt,0.038901093817304715
106,m_sn_gt_3kt,0.0
107,m_sn_gt_4kt,0.05662269004907433
108,m_sn_gt_500t,0.0
109,m_sn_gt_6kt,0.0
110,m_sn_lt_1kt,0.0
111,m_sn_lt_2kt,0.0
112,m_sn_lt_3kt,0.0
113,middle_wave_poort,0.0
114,mod_gt_4kt,0.0
115,mod_mixedt,0.0
116,mod_s_mixedt,0.0
117,mod_s_sn_gt_500t,0.030266769435382288
118,mod_snt,0.0
119,mod_sn_gt_1kt,0.0
120,mod_sn_gt_2kt,0.049465195981850986
121,mod_sn_gt_3kt,0.06365249470983932
122,mod_sn_gt_4kt,0.0
123,mod_sn_gt_500t,0.030266769435382288
124,notch_4kt,0.2321012884105414
125,notch_at_4kt,0.0
126,o_ar_ct,0.3609333812719722
127,o_ar_ut,0.13735973299535323
128,s_sn_gt_1kt,0.030266769435382288
129,s_sn_gt_2kt,0.010535158031500763
130,s_sn_gt_4kt,0.0
131,speecht,0.20311345672407768
132,static_normalt,0.029758243440589405
133,tympt,0.4625540701994434
134,viith_nerve_signst,0.0
135,wave_V_delayedt,0.0
136,waveform_ItoV_prolongedt,0.0
137,indentifiert,0.43426468851589767
